$---------------------------------------------------------------
$ Program : OFSolv 1.0.3
$
$ Design 1: Blank Thickness ........ D   [mm]
$ Design 2: Blankholder Pressure ... p   [N/mm*2]
$ Design 3: Friction Coefficient ... Fr  [/]
$ Design 4: Drawbead Forces ........ db  [N/mm]
$ Design 5: Yield Strength ......... Rp  [N/mm*2]
$
$ Target 1: Thinning ............... dD  [%]
$ Target 2: Thickening ............. dT  [%]
$ Target 3: Feasibility ............ Li  [%] .... Li = [L1 - L7]
$ Target 4: SpringBack ............. SB  [mm]
$ Target 5: ComputationTime ........ CPU [HH:MM:SS]
$
$ Part Type: A,B: in-plane Dimensions, L: Length, h: Depth (Punch Stroke) 
$    0 - Test : ............................... Stripe, Cups
$    1 - Flat : A/B <= 3.0 and h/A <= 0.2 ..... Roof, Doors, Fender
$    2 - Beam : L/B >  3.0 and h/B >  0.3 ..... Pilar, Tunnel, Beams
$    3 - Deep : A/B <= 3.0 and h/B >  0.2 ..... Wheelhouse, Tank
$
$ Row Format:
$ Nr, type , Rp  , D  ,  p , Fr , db,  dD , dT , L1 , L2 , L3 , L4 , L5 , L6 , L7 , SB ,  CPU   ,
$
$---------------------------------------------------------------
START
$---------------------------------------------------------------
$---- Part: Cylindrical Cup    Simulation: CylindricalCup   ----
$---- Type: 0, A/B = 1.0, h/B = 0.30,  Complexity: 0        ----
$---- CPUs: 2Quad CPU Q9400 @ 2.66GHz (drawing)             ----
$---------------------------------------------------------------
  26,cylindrical_cup,180.0,0.70, 4.0,0.10,  0,-25.0,18.8, 0.0,30.4,30.7,38.9, 0.0, 0.0, 0.0, 0.0,00:10:23,
  27,cylindrical_cup,180.0,0.70, 4.0,0.12,  0,-32.8,16.6, 0.0,29.7,28.2,36.2, 1.5, 3.9, 0.5, 0.0,00:10:00,
  28,cylindrical_cup,180.0,0.70, 5.0,0.06,  0,-21.7,19.2, 0.0,31.3,31.9,36.8, 0.0, 0.0, 0.0, 0.0,00:10:55,
  29,cylindrical_cup,180.0,0.70, 5.0,0.10,  0,-35.3,15.2, 0.0,28.9,28.7,33.5, 2.0, 4.8, 2.1, 0.0,00:09:18,
  30,cylindrical_cup,180.0,0.70, 5.0,0.12,  0,-61.4,11.6, 0.0,28.3,23.9,33.4, 0.5, 2.2,11.7, 0.0,00:13:03,
$
  31,cylindrical_cup,180.0,0.80, 1.0,0.06,  0,-17.0,38.5, 0.0,34.5,29.1,36.4, 0.0, 0.0, 0.0, 0.0,00:31:02,
  32,cylindrical_cup,180.0,0.80, 1.0,0.10,  0,-18.6,34.4, 0.0,33.5,29.7,36.8, 0.0, 0.0, 0.0, 0.0,00:12:48,
  33,cylindrical_cup,180.0,0.80, 1.0,0.12,  0,-19.2,33.4, 0.0,32.8,30.1,37.1, 0.0, 0.0, 0.0, 0.0,00:11:29,
  34,cylindrical_cup,180.0,0.80, 2.0,0.06,  0,-18.1,22.7, 0.0,32.3,31.3,36.4, 0.0, 0.0, 0.0, 0.0,00:09:52,
  35,cylindrical_cup,180.0,0.80, 2.0,0.10,  0,-19.9,22.1, 0.0,31.5,31.1,37.4, 0.0, 0.0, 0.0, 0.0,00:09:57,
  36,cylindrical_cup,180.0,0.80, 2.0,0.12,  0,-21.0,21.6, 0.0,31.2,30.6,38.2, 0.0, 0.0, 0.0, 0.0,00:09:56,
  37,cylindrical_cup,180.0,0.80, 3.0,0.06,  0,-19.3,21.9, 0.0,31.4,31.7,36.9, 0.0, 0.0, 0.0, 0.0,00:10:34,
  38,cylindrical_cup,180.0,0.80, 3.0,0.10,  0,-22.3,21.0, 0.0,30.6,30.7,38.7, 0.0, 0.0, 0.0, 0.0,00:09:55,
  39,cylindrical_cup,180.0,0.80, 3.0,0.12,  0,-24.3,20.3, 0.0,29.9,29.8,40.3, 0.0, 0.0, 0.0, 0.0,00:09:53,
  40,cylindrical_cup,180.0,0.80, 4.0,0.06,  0,-21.0,20.6, 0.0,30.4,32.2,37.4, 0.0, 0.0, 0.0, 0.0,00:09:39,
  41,cylindrical_cup,180.0,0.80, 4.0,0.10,  0,-26.9,18.5, 0.0,29.3,30.1,38.9, 0.0, 1.7, 0.0, 0.0,00:09:11,
  42,cylindrical_cup,180.0,0.80, 4.0,0.12,  0,-31.8,17.6, 0.0,28.3,27.9,39.1, 1.7, 3.0, 0.0, 0.0,00:09:15,
  43,cylindrical_cup,180.0,0.80, 5.0,0.06,  0,-22.3,19.8, 0.0,29.8,32.2,38.0, 0.0, 0.0, 0.0, 0.0,00:09:54,
  44,cylindrical_cup,180.0,0.80, 5.0,0.10,  0,-31.6,16.9, 0.0,28.0,29.4,37.9, 1.7, 3.0, 0.0, 0.0,00:09:46,
  45,cylindrical_cup,180.0,0.80, 5.0,0.12,  0,-56.2,13.1, 0.0,27.3,24.7,34.6, 0.4, 2.2,10.8, 0.0,00:09:09,
$
  46,cylindrical_cup,180.0,0.90, 1.0,0.06,  0,-17.4, 6.9, 0.0,34.5,29.1,36.4, 0.0, 0.0, 0.0, 0.0,49.3%
  47,cylindrical_cup,180.0,0.90, 1.0,0.10,  0,-19.5,34.8, 0.0,31.8,30.2,38.0, 0.0, 0.0, 0.0, 0.0,00:15:25,
  48,cylindrical_cup,180.0,0.90, 1.0,0.12,  0,-20.2,33.8, 0.0,31.7,29.8,38.5, 0.0, 0.0, 0.0, 0.0,00:17:41,
  49,cylindrical_cup,180.0,0.90, 2.0,0.06,  0,-19.3,23.0, 0.0,30.9,31.1,38.0, 0.0, 0.0, 0.0, 0.0,00:10:20,
  50,cylindrical_cup,180.0,0.90, 2.0,0.10,  0,-21.4,22.1, 0.0,30.4,30.0,39.6, 0.0, 0.0, 0.0, 0.0,00:10:21,
  51,cylindrical_cup,180.0,0.90, 2.0,0.12,  0,-22.5,21.9, 0.0,29.9,29.9,40.2, 0.0, 0.0, 0.0, 0.0,00:10:08,
  52,cylindrical_cup,180.0,0.90, 3.0,0.06,  0,-20.3,22.2, 0.0,30.1,31.2,38.7, 0.0, 0.0, 0.0, 0.0,00:10:53,
  53,cylindrical_cup,180.0,0.90, 3.0,0.10,  0,-23.0,20.8, 0.0,29.3,29.5,41.2, 0.0, 0.0, 0.0, 0.0,00:10:22,
  54,cylindrical_cup,180.0,0.90, 3.0,0.12,  0,-25.9,20.3, 0.0,28.9,27.9,42.2, 0.0, 1.0, 0.0, 0.0,00:10:10,
  55,cylindrical_cup,180.0,0.90, 4.0,0.06,  0,-21.2,21.3, 0.0,29.4,31.3,39.3, 0.0, 0.0, 0.0, 0.0,00:10:39,
  56,cylindrical_cup,180.0,0.90, 4.0,0.10,  0,-26.8,19.4, 0.0,28.1,29.0,41.1, 0.0, 1.8, 0.0, 0.0,00:10:08,
  57,cylindrical_cup,180.0,0.90, 4.0,0.12,  0,-32.0,18.1, 0.0,27.2,27.1,40.7, 1.8, 3.0, 0.2, 0.0,00:10:01,
  58,cylindrical_cup,180.0,0.90, 5.0,0.06,  0,-23.1,20.0, 0.0,28.4,31.5,40.1, 0.0, 0.0, 0.0, 0.0,00:10:18,
  59,cylindrical_cup,180.0,0.90, 5.0,0.10,  0,-34.9,16.9, 0.0,26.5,27.6,38.1, 1.8, 4.1, 1.9, 0.0,00:09:44,
  60,cylindrical_cup,180.0,0.90, 5.0,0.12,  0,-48.0,14.8, 0.0,26.6,24.8,36.6, 0.8, 2.4, 8.8, 0.0,00:09:33,
$
  61,cylindrical_cup,180.0,1.00, 1.0,0.06,  0,-19.7,34.7, 0.0,29.2,30.6,40.2, 0.0, 0.0, 0.0, 0.0,00:15:15,
  62,cylindrical_cup,180.0,1.00, 1.0,0.10,  0,-21.1,33.4, 0.0,29.1,29.3,41.6, 0.0, 0.0, 0.0, 0.0,00:16:11,
  63,cylindrical_cup,180.0,1.00, 1.0,0.12,  0,-21.8,31.8, 0.0,28.8,29.2,42.0, 0.0, 0.0, 0.0, 0.0,00:14:31,
  64,cylindrical_cup,180.0,1.00, 2.0,0.06,  0,-20.5,23.1, 0.0,28.3,30.8,40.9, 0.0, 0.0, 0.0, 0.0,00:10:28,
  65,cylindrical_cup,180.0,1.00, 2.0,0.10,  0,-22.5,21.9, 0.0,27.9,29.4,42.7, 0.0, 0.0, 0.0, 0.0,00:10:13,
  66,cylindrical_cup,180.0,1.00, 2.0,0.12,  0,-24.0,21.7, 0.0,27.7,28.4,43.9, 0.0, 0.0, 0.0, 0.0,00:10:58,
  67,cylindrical_cup,180.0,1.00, 3.0,0.06,  0,-21.2,22.0, 0.0,27.7,30.2,42.1, 0.0, 0.0, 0.0, 0.0,00:10:59,
  68,cylindrical_cup,180.0,1.00, 3.0,0.10,  0,-24.4,21.0, 0.0,27.1,27.8,45.1, 0.0, 0.0, 0.0, 0.0,00:10:21,
  69,cylindrical_cup,180.0,1.00, 3.0,0.12,  0,-27.2,20.4, 0.0,26.9,26.8,43.9, 0.0, 2.4, 0.0, 0.0,00:09:45,
  70,cylindrical_cup,180.0,1.00, 4.0,0.06,  0,-23.1,20.9, 0.0,26.9,29.9,43.2, 0.0, 0.0, 0.0, 0.0,00:09:58,
  71,cylindrical_cup,180.0,1.00, 4.0,0.10,  0,-28.2,19.2, 0.0,26.2,27.4,43.5, 0.0, 2.9, 0.0, 0.0,00:10:09,
  72,cylindrical_cup,180.0,1.00, 4.0,0.12,  0,-32.7,18.4, 0.0,26.0,26.2,42.6, 1.8, 3.0, 0.4, 0.0,00:10:15,
  73,cylindrical_cup,180.0,1.00, 5.0,0.06,  0,-24.2,19.8, 0.0,26.2,29.7,44.1, 0.0, 0.0, 0.0, 0.0,00:10:35,
  74,cylindrical_cup,180.0,1.00, 5.0,0.10,  0,-35.7,17.2, 0.0,25.5,26.5,39.7, 2.1, 3.8, 2.4, 0.0,00:09:29,
  75,cylindrical_cup,180.0,1.00, 5.0,0.12,  0,-53.3,14.3, 0.0,26.6,22.9,37.0, 0.7, 2.2,10.6, 0.0,00:09:07,
$
$ Rp=263 [N/mm*2] -------------
  76,cylindrical_cup,263.0,0.60, 1.0,0.06,  0,-13.9,38.3, 0.0,37.5,28.1,34.4, 0.0, 0.0, 0.0, 0.0,98.1%
  77,cylindrical_cup,263.0,0.60, 1.0,0.10,  0,-14.3,36.4, 0.0,37.5,27.9,34.6, 0.0, 0.0, 0.0, 0.0,97.6%
  78,cylindrical_cup,263.0,0.60, 1.0,0.12,  0,-15.4,38.3, 0.0,36.5,28.6,34.9, 0.0, 0.0, 0.0, 0.0,00:33:20,
  79,cylindrical_cup,263.0,0.60, 2.0,0.06,  0,-14.5,23.1, 0.0,35.3,30.1,34.6, 0.0, 0.0, 0.0, 0.0,00:20:26,
  80,cylindrical_cup,263.0,0.60, 2.0,0.10,  0,-16.3,22.2, 0.0,33.9,31.0,35.1, 0.0, 0.0, 0.0, 0.0,00:17:18,
  81,cylindrical_cup,263.0,0.60, 2.0,0.12,  0,-17.3,22.4, 0.0,33.7,30.9,35.4, 0.0, 0.0, 0.0, 0.0,00:20:33,
  82,cylindrical_cup,263.0,0.60, 3.0,0.06,  0,-16.1,22.3, 0.0,34.2,30.9,34.9, 0.0, 0.0, 0.0, 0.0,00:10:10,
  83,cylindrical_cup,263.0,0.60, 3.0,0.10,  0,-18.3,20.9, 0.0,32.7,31.8,35.5, 0.0, 0.0, 0.0, 0.0,00:27:41,
  84,cylindrical_cup,263.0,0.60, 3.0,0.12,  0,-22.6,19.4, 0.0,32.2,30.6,37.2, 0.0, 0.0, 0.0, 0.0,00:13:26,
  85,cylindrical_cup,263.0,0.60, 4.0,0.06,  0,-17.1,21.4, 0.0,33.2,31.8,35.0, 0.0, 0.0, 0.0, 0.0,00:16:36,
  86,cylindrical_cup,263.0,0.60, 4.0,0.10,  0,-22.7,19.3, 0.0,32.2,30.7,37.1, 0.0, 0.0, 0.0, 0.0,00:13:32,
  87,cylindrical_cup,263.0,0.60, 4.0,0.12,  0,-29.2,17.6, 0.0,31.5,28.5,36.9, 0.8, 0.5, 1.8, 0.0,00:09:28,
  88,cylindrical_cup,263.0,0.60, 5.0,0.06,  0,-18.7,19.8, 0.0,32.6,32.1,35.3, 0.0, 0.0, 0.0, 0.0,00:09:05,
  89,cylindrical_cup,263.0,0.60, 5.0,0.10,  0,-26.0,17.7, 0.0,31.2,30.4,37.3, 1.0, 0.1, 0.0, 0.0,00:12:00,
  90,cylindrical_cup,263.0,0.60, 5.0,0.12,  0,-43.9,14.4, 0.0,30.3,26.6,32.9, 0.7, 0.9, 8.6, 0.0,00:09:13,
$
